phen tissue Enrich_G SE_G p_G padj_G lgpval_G cat_tiss sig_G Enrich_GxE SE_GxE p_GxE padj_GxE lgpval_GxE sig_GxE
glucose Heart_Atrial_Appendage 2.29971 2.02663 0.128240908392524 0.497218110901187 0.891973414324659 Cardiovascular 1 1.89436 3.89314 0.313274728215558 0.97182566929626 0.504074638119285 1
glucose Heart_Left_Ventricle 2.77275 1.94741 0.0772501328420759 0.454917448958891 1.11210076507425 Cardiovascular 1 2.51898 3.9883 0.263826624448872 0.97182566929626 0.578681379116536 1
glucose Colon_Sigmoid -1.25392 1.11299 0.870049019533499 0.974726589416349 0.0604562780558963 Digestive 1 -6.22785 4.53886 0.914986594959959 0.97182566929626 0.0385852685319836 1
glucose Colon_Transverse 1.89005 2.17133 0.192025278473281 0.497218110901187 0.716641596406732 Digestive 1 -1.47129 4.0807 0.640781478746851 0.97182566929626 0.193290049661471 1
glucose Esophagus_Gastroesophageal_Junction 1.96115 2.39775 0.206703540003128 0.497218110901187 0.684652085585293 Digestive 1 0.619021 4.39111 0.44394626127301 0.97182566929626 0.352669597104011 1
glucose Esophagus_Mucosa 0.924677 2.47906 0.354576080351752 0.524985077062076 0.450290565186391 Digestive 1 -0.785217 3.78385 0.582197333291615 0.97182566929626 0.23492978814384 1
glucose Esophagus_Muscularis -0.0530232 1.20603 0.517533878673929 0.63789286087399 0.286061215263217 Digestive 1 -0.711124 4.33043 0.565219274996264 0.97182566929626 0.247783036346159 1
glucose Small_Intestine_Terminal_Ileum 0.516688 0.84597 0.270677922997444 0.512349737202088 0.567547164663113 Digestive 1 -4.20201 4.2353 0.839435350614744 0.97182566929626 0.0760127455681266 1
glucose Stomach 5.82783 3.07892 0.0291911507549074 0.307193955336934 1.53474878419474 Digestive 2 -2.70543 4.93676 0.708159995932646 0.97182566929626 0.149868610247229 1
glucose Adrenal_Gland 0.220521 1.3113 0.433224866951894 0.574022948711259 0.363286622983843 Endocrine 1 14.6333 5.97776 0.00718343813916404 0.380722221375694 2.14366764385235 2
glucose Pituitary 3.53874 2.60958 0.087540469261742 0.463964487087233 1.05779112967585 Endocrine 1 0.569098 3.74958 0.439681622384787 0.97182566929626 0.356861686446872 1
glucose Testis -1.53553 1.17701 0.903985854435268 0.974726589416349 0.0438383653086763 Endocrine 1 -3.96091 4.07962 0.834201384635272 0.97182566929626 0.078729093633128 1
glucose Thyroid 1.37144 1.3985 0.16338251229513 0.497218110901187 0.786794430179176 Endocrine 1 1.94293 3.5184 0.290398899215918 0.97182566929626 0.537005034202518 1
glucose Liver 7.16816 2.76572 0.00477392894085918 0.253018233865536 2.32112404968252 Liver 2 8.29557 5.24921 0.0570137823827002 0.802306781569088 1.24402014627099 1
glucose Muscle_Skeletal 1.92576 2.47422 0.218187205626337 0.497218110901187 0.66117071978248 Musculoskeletal/connective 1 -4.36725 4.58319 0.829675663524441 0.97182566929626 0.0810916486721371 1
glucose Bladder -1.59628 1.12706 0.921659391731276 0.974726589416349 0.0354295470826693 Other 1 1.45692 4.18626 0.363910985566877 0.97182566929626 0.439004833946431 1
glucose Breast_Mammary_Tissue 1.52947 2.23326 0.246716197294616 0.512349737202088 0.607802337479218 Other 1 -2.67849 3.31423 0.790506133126337 0.97182566929626 0.102094756253477 1
glucose Cells_Transformed_fibroblasts 5.74511 2.75546 0.0185350472287915 0.307193955336934 1.73200630301573 Other 2 -3.47389 3.77564 0.821234463619079 0.97182566929626 0.0855328334788317 1
glucose Cervix_Ectocervix 5.00156 2.65739 0.0299090159707723 0.307193955336934 1.52419787535028 Other 2 -4.5341 4.02438 0.870056450858359 0.97182566929626 0.060452568644674 1
glucose Cervix_Endocervix 0.0807481 1.43435 0.477553021432607 0.617324637461663 0.320978402850396 Other 1 -2.49363 3.90748 0.738317945875286 0.97182566929626 0.131756575299749 1
glucose Fallopian_Tube -1.92062 1.30911 0.928828140805858 0.974726589416349 0.0320646352036317 Other 1 -9.42243 5.91236 0.944496518199719 0.97182566929626 0.0247996387261988 1
glucose Kidney_Cortex 2.04387 2.16124 0.172152542559908 0.497218110901187 0.764086558718334 Other 1 5.52647 4.1679 0.0924264212561215 0.802306781569088 1.03420386248658 1
glucose Lung 0.738667 2.10671 0.362934527619243 0.524985077062076 0.440171713416393 Other 1 0.205436 3.74182 0.478107992644678 0.97182566929626 0.320473996039694 1
glucose Minor_Salivary_Gland 0.946256 2.17211 0.331549306340532 0.524985077062076 0.479451876371469 Other 1 0.392977 4.2772 0.463397818141636 0.97182566929626 0.334046015369691 1
glucose Nerve_Tibial -0.212158 1.65409 0.551029447008202 0.663740015714426 0.258825191835236 Other 1 -0.124972 3.96052 0.512586312489095 0.97182566929626 0.290232994893527 1
glucose Ovary 0.970367 1.64522 0.277659061256429 0.512349737202088 0.55648814898971 Other 1 -1.52862 4.47778 0.633590853983112 0.97182566929626 0.198191100505265 1
glucose Pancreas 3.42505 1.76014 0.0258335957948937 0.307193955336934 1.58781513988967 Other 2 1.64994 3.84675 0.333991480136482 0.97182566929626 0.476264611562404 1
