phen tissue Enrich_G SE_G p_G padj_G lgpval_G cat_tiss sig_G Enrich_GxE SE_GxE p_GxE padj_GxE lgpval_GxE sig_GxE
ala_at Brain_Cortex 0.01877 0.650691 0.488493604117124 0.696689848345492 0.311141118157745 Brain 1 -4.01595 4.21306 0.829759306557979 0.901912289736933 0.0810478678568585 1
ala_at Brain_Frontal_Cortex_(BA9) -0.0171511 0.651793 0.510496445056077 0.696689848345492 0.292007277862879 Brain 1 -2.23677 4.16521 0.704370523823673 0.885951239658755 0.15219882648184 1
ala_at Brain_Hippocampus -0.411442 0.677675 0.728120213616446 0.774595971932389 0.137796912170176 Brain 1 -3.0105 4.13012 0.766972695226152 0.885951239658755 0.115220096968479 1
ala_at Brain_Hypothalamus -0.890248 0.71027 0.894968782970686 0.913233452010904 0.0481921128628752 Brain 1 -5.33835 4.27283 0.894235299598331 0.931495103748261 0.0485481905201194 1
ala_at Brain_Nucleus_accumbens_(basal_ganglia) -0.0578954 0.78265 0.529484284742574 0.696689848345492 0.276146925359831 Brain 1 -4.95471 4.22479 0.879556118102358 0.931495103748261 0.0557364461386641 1
ala_at Brain_Putamen_(basal_ganglia) -0.212896 0.695221 0.62028439788219 0.705685830924552 0.207409142579815 Brain 1 -0.18594 4.54401 0.516320085444993 0.885951239658755 0.287080980069459 1
ala_at Brain_Spinal_cord_(cervical_c-1) -1.41719 0.714423 0.97635450187379 0.97635450187379 0.0103924669090286 Brain 1 -0.521427 4.59951 0.545129712468229 0.885951239658755 0.26350014596841 1
ala_at Brain_Substantia_nigra 0.0450118 0.649648 0.472380807823403 0.696689848345492 0.325707755482126 Brain 1 -1.15202 4.6431 0.597977055284069 0.885951239658755 0.223315479815422 1
ala_at Artery_Aorta 0.0225624 0.956644 0.490591838865163 0.696689848345492 0.309279680681826 Cardiovascular 1 -7.35377 4.33498 0.955092956971146 0.955092956971146 0.0199543574895874 1
ala_at Artery_Coronary 0.338267 0.991777 0.36652482825937 0.678749681961797 0.435896601075184 Cardiovascular 1 -2.73271 4.55232 0.725843349957829 0.885951239658755 0.139157097742975 1
ala_at Heart_Atrial_Appendage -0.219543 1.11243 0.578224910107612 0.705685830924552 0.237903202722006 Cardiovascular 1 -3.71629 4.82029 0.779637090899704 0.885951239658755 0.108107507689498 1
ala_at Heart_Left_Ventricle 1.60167 1.11739 0.0758713735527596 0.252904578509199 1.11992205352675 Cardiovascular 1 -2.61714 5.08213 0.696712699631448 0.885951239658755 0.156946273103162 1
ala_at Colon_Sigmoid 0.185851 0.891206 0.417404158291526 0.696689848345492 0.37944322869158 Digestive 1 9.0348 5.9197 0.0634767963285427 0.528973302737856 1.1973850001898 1
ala_at Colon_Transverse 1.45131 1.12253 0.0980242161394141 0.2883065180571 1.00866662189374 Digestive 1 6.6911 6.82796 0.16355393254566 0.81363508918336 0.786339009091141 1
ala_at Esophagus_Gastroesophageal_Junction -0.27995 0.908582 0.621003531213606 0.705685830924552 0.206905930286829 Digestive 1 1.88256 4.52621 0.338732757378209 0.885951239658755 0.470142802585688 1
ala_at Esophagus_Mucosa 1.07724 1.08332 0.160017095674647 0.400042739186616 0.795833616340686 Digestive 1 11.9114 5.49052 0.0150243277291603 0.528973302737856 1.82320495160795 2
ala_at Esophagus_Muscularis -0.177607 0.911249 0.577266345951871 0.705685830924552 0.238623760695428 Digestive 1 0.818955 4.19536 0.42261625567421 0.885951239658755 0.374053802092431 1
ala_at Small_Intestine_Terminal_Ileum 2.4626 1.1746 0.0180170024743095 0.095193998123963 1.74431746181162 Digestive 4 -2.92745 5.12279 0.716154771647755 0.885951239658755 0.144993110082069 1
ala_at Stomach 3.25472 1.18671 0.00304735997187729 0.0238513852716479 2.51607624135788 Digestive 4 0.65352 4.08457 0.436441617106368 0.885951239658755 0.360073843743894 1
ala_at Adrenal_Gland 3.93402 1.14525 0.000296194587114176 0.00493657645190294 3.52842288237094 Endocrine 4 -3.10525 4.28153 0.765855703512589 0.885951239658755 0.115853048998593 1
ala_at Pituitary -0.520859 1.02194 0.6948610080726 0.767147880457517 0.158102057947866 Endocrine 1 10.3854 5.24722 0.0238956507328678 0.528973302737856 1.62168113815655 2
ala_at Testis -0.232398 0.917434 0.59998684178348 0.705685830924552 0.221858273955503 Endocrine 1 -0.763794 3.95147 0.576635494576657 0.885951239658755 0.239098628294785 1
