pheno	h2g.female	h2g.se.female	h2g.male	h2g.se.male	h2gxe.female	h2gxe.se.female	h2gxe.male	h2gxe.se.male	h2gxe.prop.female	h2gxe.prop.se.female	h2gxe.prop.male	h2gxe.prop.se.male	Category	h2g	h2g.se	h2gxe	h2gxe.se	h2exn	h2exn.se	h2tot	h2tot.se
FEV1-FVC ratio	0.30018	0.0201213	0.255735	0.0142428	0.000767405	0.00438713	0.00321626	0.0038645	0.0025564827770004	0.0146149976680658	0.0125765343030871	0.0151113457289772	Lung	0.272281	0.0169343	-0.001015	0.00201831	0.0151573	0.00201529	0.286423	0.0169782
FVC	0.318312	0.0140847	0.325254	0.0124687	0.00371772	0.00401763	0.0029971	0.00373311	0.0116794842795747	0.0126216730754731	0.0092146445547172	0.0114775221826633	Lung	0.318942	0.0120501	0.0028898	0.00208717	0.0190573	0.00211936	0.340889	0.0120741
Gamma glutamyltransferase	0.322976	0.0404809	0.333755	0.041876	0.00432187	0.00370752	0.0114607	0.00381877	0.0133813967601307	0.0114792430397305	0.0343386615930847	0.0114418360773621	Liver	0.318654	0.0409301	0.00832828	0.00173596	-0.0277606	0.00174674	0.299221	0.0408883
Glucose	0.116623	0.0107805	0.111848	0.013435	0.0119486	0.00631155	0.00608149	0.00475753	0.1024549188410519	0.0541192560644126	0.0543728095272155	0.0425356734139188	Glucose metabolism	0.110063	0.0118537	0.0129292	0.00284006	0.0764126	0.0028326	0.199405	0.0118437
Hemoglobin A1c	0.346665	0.0280861	0.31557	0.0269352	0.0266851	0.00514896	0.00710813	0.00440623	0.0769766200799042	0.0148528406386569	0.0225247330227841	0.0139627657888899	Glucose metabolism	0.330502	0.0272709	0.0204292	0.0026929	0.0481061	0.00269914	0.399037	0.0272576
HDL cholesterol	0.486604	0.114702	0.474726	0.112645	0.0042973	0.00454042	0.00232789	0.00451789	0.0088312056620989	0.0093308316413346	0.0049036496842389	0.0095168370807581	Lipid metabolism	0.474893	0.116398	0.00435053	0.00248562	0.0201995	0.00248556	0.499443	0.116454
Height	0.693984	0.0357459	0.692301	0.0327409	-0.000330392	0.00377853	0.000676692	0.00305073	-0.0004760801401761	0.005444693249412	0.0009774534487166	0.0044066525976417	Anthropometry	0.685141	0.0358268	0.00229111	0.00200744	-0.00103659	0.00210454	0.686396	0.0359573
IGF-1	0.388005	0.0219875	0.349012	0.0211772	0.0128166	0.00432515	0.00727865	0.00420048	0.0330320485560753	0.0111471501655906	0.0208550135811949	0.0120353454895533	Blood biochemistry	0.348612	0.0202687	0.00327698	0.00218634	0.0271107	0.00221541	0.379	0.020303
LDL direct	0.387492	0.121403	0.492553	0.188115	0.00628879	0.00401051	0.0333337	0.0130449	0.016229470543908	0.0103499169015102	0.0676753567636376	0.0264842565165576	Lipid metabolism	0.431124	0.156361	0.0178176	0.00385533	-0.0381979	0.00395464	0.410744	0.156275
Microalbumin in urine	0.0635198	0.0107724	0.0604029	0.0140916	0.0131875	0.0112026	0.00654499	0.0118594	0.2076124295101684	0.1763639054279138	0.1083555590873948	0.196338255282445	Kidney	0.045065	0.00736474	0.0028098	0.00615261	0.0397868	0.00615125	0.0876617	0.007369
Overall health rating	0.108376	0.00517635	0.137001	0.00426703	0.00820318	0.00450613	0.0087841	0.00380509	0.0756918505942274	0.0415786705543662	0.0641170502405091	0.027774176830826	Other	0.118141	0.00367406	0.00736191	0.00188777	0.0178336	0.00188976	0.143336	0.00368197
Phosphate	0.175898	0.0152801	0.166575	0.0138513	-0.00320151	0.00378318	0.000576945	0.00380155	-0.018200946002797	0.0215078056600984	0.0034635749662314	0.0228218520186102	Blood biochemistry	0.16054	0.0142188	-0.0020314	0.00201809	0.0180077	0.00201257	0.176516	0.0142303
Potassium in urine	0.0541546	0.00400786	0.0650915	0.00349265	0.00315143	0.00412973	0.00977182	0.00275698	0.0581932098104316	0.0762581572017889	0.1501243633961423	0.0423554534770284	Kidney	0.0525134	0.00220359	0.00301068	0.00174642	-0.0162789	0.00175118	0.0392452	0.00220371
SHBG	0.493118	0.125963	0.348361	0.0662916	0.00746802	0.00472889	0.00757046	0.00443153	0.0151444887430594	0.0095897736444421	0.0217316519357792	0.0127210853109274	Blood biochemistry	0.383419	0.0868364	0.00689605	0.00225354	-0.00263375	0.00227387	0.387681	0.0868303
Sodium in urine	0.0894278	0.00499489	0.106129	0.00512576	0.00532749	0.00362421	0.000813741	0.00359393	0.0595730857742223	0.0405266594951458	0.0076674707195959	0.0338637884084463	Kidney	0.0932288	0.00394112	0.00120904	0.00176009	-0.00826218	0.0017563	0.0861757	0.00393501
Testosterone	0.292199	0.0521149	0.155189	0.0105784	-0.00185334	0.00348311	-0.00250823	0.0047434	-0.0063427321790971	0.0119203351140832	-0.0161624213056337	0.03056531068568	Blood biochemistry	0.119669	0.0196827	0.00136668	0.00206794	-0.0154288	0.00206615	0.105607	0.0196931
Triglycerides	0.34809	0.0606133	0.358123	0.0550262	0.00190428	0.00370674	0.00237356	0.00425261	0.0054706541411703	0.0106487977247263	0.0066277787240696	0.0118747190211184	Lipid metabolism	0.343603	0.0585211	0.00662472	0.00247235	-0.00532028	0.00251024	0.344907	0.058523
Urate	0.273463	0.0634738	0.51167	0.26007	0.0104182	0.00468894	0.00204501	0.00449289	0.0380972928696021	0.0171465243926966	0.0039967361776144	0.0087808353040045	Kidney	0.377062	0.153762	0.00625036	0.00228122	0.0393163	0.00226674	0.422628	0.153794
Urea	0.182467	0.0120173	0.165326	0.0102674	-0.00330842	0.00422263	-7.75248e-07	0.00448681	-0.0181316073591389	0.023141883189837	-4.689207989064031e-06	0.0271391674630729	Kidney	0.167448	0.0105778	-0.00064973	0.00180849	0.0419028	0.00180677	0.208701	0.0106002
Vitamin D	0.144806	0.0269588	0.140995	0.0270786	0.0019163	0.00412053	-0.000736726	0.00428978	0.0132335676698479	0.0284555197989033	-0.0052251923827086	0.0304250505337068	Blood biochemistry	0.136071	0.0275177	0.00338014	0.00232211	0.0125874	0.00233978	0.152039	0.0275528
Waist-hip ratio	0.220422	0.00862566	0.266341	0.0131532	0.00392489	0.00376733	0.00584497	0.00364221	0.0178062534592735	0.0170914427779441	0.0219454383666052	0.0136749880791917	Anthropometry	0.211119	0.00819791	0.00373176	0.00169984	0.00231371	0.00171429	0.217164	0.00820895
