pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
cholesterol 0.0261619 0.00745061 0.044071 0.016094 0.00298974 0.00140656 0.00103548 0.000447134 0.0043282 0.00226881 0.0469694 0.0224212 0.0485964 0.00676534 0.0232367 0.00424606 -0.00495352 0.004295 0.00225996 0.00254714 0.00129935 0.000951421 -0.00062898 0.000296 0.000469022 0.00054554 -0.000935007 0.000958464 0.000114086 0.00101083 7.33576e-05 0.000470433 0.0165821 0.00433085 -0.00230173 0.00430334 0.197389 0.036057
corneal_hysteresis 0.00197751 0.0164615 0.0334047 0.0120699 0.00782764 0.00512953 0.00212149 0.00151661 0.0133415 0.0031564 0.0621606 0.00833896 0.131744 0.0149194 0.0444905 0.00697975 0.0199676 0.0181694 0.00135624 0.00964876 0.004976 0.00475869 0.000813727 0.00117366 -0.00231835 0.00217121 -0.00176959 0.00549105 0.0046057 0.00442166 -0.00166059 0.00193146 -0.0123819 0.0203657 0.0259707 0.0203154 0.297068 0.028856
c_reactive_prot 0.0519425 0.0131415 0.0351975 0.00771333 0.00526599 0.0020031 0.00107857 0.000585686 0.00368162 0.00274033 0.0648465 0.0354817 0.0858326 0.0201866 0.0417137 0.00837166 0.00284911 0.00404548 0.00322408 0.00232966 0.001678 0.000980836 0.000544718 0.000354476 0.00039974 0.00056777 0.00100359 0.00107836 0.000352337 0.00112603 -7.41615e-05 0.000515115 -0.00126809 0.00430066 0.00997741 0.00428021 0.289559 0.0495177
creatinine 0.0447671 0.00610852 0.0408692 0.00533727 0.00986716 0.00196048 0.00217449 0.000744122 0.00811248 0.00190959 0.0493627 0.00491284 0.0882405 0.00531886 0.0427718 0.00795264 0.00557166 0.00485173 -0.000193874 0.00258329 -0.00160478 0.000882562 8.49516e-05 0.000306584 0.000935923 0.000539905 0.000322725 0.00112529 0.00194635 0.00108543 0.000216428 0.000508443 0.0200771 0.00499119 0.00727938 0.00496992 0.286166 0.0145779
creatinine_urine 0.0100101 0.00400484 0.0109647 0.00256391 0.0034326 0.00103173 0.000358629 0.000275969 0.00173453 0.000611329 0.0129106 0.00163682 0.0283119 0.0017203 0.0126857 0.00246827 -0.00210852 0.00386622 0.00198278 0.00242878 -3.69949e-05 0.000971037 9.56782e-05 0.000278977 0.0010481 0.000636252 -0.000200052 0.000921222 0.000839333 0.00110055 0.000752392 0.000447769 0.0291071 0.00366481 0.00237272 0.00367018 0.0804087 0.00491044
cystatin_c 0.0628798 0.0146316 0.0449171 0.0116204 0.0100214 0.00240184 0.00125643 0.00133998 0.00772861 0.00159303 0.0459582 0.00548651 0.0998448 0.0132548 0.0774744 0.0378414 0.00654091 0.00487873 0.00259837 0.00208972 -0.000213605 0.000868863 0.000155292 0.000249267 0.000131438 0.00060645 0.00142056 0.00108641 0.00350913 0.00107505 -0.000329989 0.000520172 -0.00166073 0.00483543 0.0138121 0.00472751 0.350081 0.0677246
fev1_fvc 0.047915 0.00555605 0.0369948 0.00443147 0.00803625 0.00160379 0.00177346 0.000482534 0.00483993 0.000788921 0.0410288 0.00347622 0.0894287 0.00658266 0.0376762 0.00538829 0.0181816 0.00431784 0.00550103 0.0025045 0.00130016 0.00098032 -0.000514939 0.000318064 0.000861732 0.000563133 0.000261758 0.00107758 0.00341316 0.00120909 0.00150023 0.000744886 -0.000739391 0.00447104 0.0305047 0.00444707 0.267693 0.0127689
fvc 0.064012 0.00595095 0.0432237 0.00468823 0.0123818 0.00217131 0.00322269 0.000667375 0.00580489 0.00111779 0.0513174 0.00403514 0.0940365 0.0049458 0.0480924 0.00937939 0.00668476 0.00452291 -0.0028551 0.0028311 0.000683973 0.00105364 -0.000511935 0.000250191 -0.00144146 0.00050774 0.00169139 0.00120961 0.00282611 0.00120731 0.000424581 0.000505626 0.0281553 0.00461903 0.00750232 0.00462045 0.322091 0.0132564
ggt 0.0661026 0.0146146 0.0336301 0.0067845 0.00754706 0.00210681 0.00196734 0.000601827 0.00608531 0.00285698 0.0865605 0.0393308 0.0871851 0.00826729 0.0377394 0.00724434 0.00552932 0.00413428 0.0032769 0.00227944 -0.000620136 0.000967118 -0.000136305 0.000272563 -0.000958215 0.000532068 0.00255156 0.00103678 0.00157771 0.00119424 0.00121929 0.000522371 -0.0206392 0.00411076 0.0124401 0.00408806 0.326817 0.0503487
glucose 0.0272807 0.00625276 0.0163836 0.00288794 0.00116222 0.00122486 0.00106072 0.000430131 0.00188328 0.000826246 0.0261661 0.00701631 0.0383756 0.0052596 0.0137966 0.00141452 0.0149524 0.00506774 0.00136055 0.00291103 0.000141485 0.00110975 -0.000343351 0.000336324 0.000380382 0.00062217 -0.000611912 0.00115818 -0.00143856 0.00105124 -0.000896577 0.000602839 0.00488154 0.0052135 0.0135444 0.00519253 0.126109 0.016584
hair_color 0.0740196 0.0340985 0.0265201 0.0113075 0.00270573 0.00223751 -0.000335708 0.000628187 0.0745021 0.06282 0.0212426 0.0168431 0.101512 0.0381362 0.0373932 0.0100923 0.00485289 0.00354391 0.000630944 0.00262613 0.000706039 0.000880022 5.35448e-05 0.000275197 0.000658369 0.000610131 0.00153132 0.00114327 6.9752e-05 0.00109584 0.000807052 0.000565691 0.00671269 0.00384883 0.00930991 0.00382321 0.337559 0.0996333
hba1c 0.0511992 0.00768858 0.0347766 0.00449796 0.00884067 0.00251679 0.00114376 0.000599003 0.00484961 0.00237065 0.0827511 0.0256661 0.0808906 0.00773685 0.0532527 0.00937377 0.00541077 0.00402722 0.00155781 0.00248666 0.00188807 0.000992458 0.00029893 0.000299328 -0.000320711 0.000636959 0.000490965 0.00130662 0.000663762 0.00103814 0.000577567 0.000495558 -0.0240486 0.00430182 0.0105672 0.00427222 0.317704 0.0282099
