pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
cholesterol 0.0309475 0.0106374 0.0539567 0.0198335 0.00444067 0.0019946 0.0011749 0.000592017 0.00507734 0.0027787 0.0602091 0.0275011 0.0664487 0.00957213 0.0325005 0.00598553 0.0126315 0.00798781 0.0176826 0.00957288 -0.000443288 0.00194528 -9.08396e-05 0.000529663 0.0012099 0.00102682 0.0201693 0.0131337 0.0164955 0.00434585 0.00919698 0.00240557 -0.0462353 0.0221631 0.0768516 0.0221128 0.254756 0.0446779
corneal_hysteresis -0.0223905 0.0329376 0.0322161 0.0182268 0.00926657 0.00719536 0.00102947 0.0024043 0.0165574 0.00471398 0.0656083 0.0109081 0.133408 0.014891 0.0517435 0.00694896 0.0352044 0.0311259 0.00560108 0.0162325 -0.00481711 0.00661924 0.0020662 0.00222699 -0.00433354 0.00480878 -0.00290133 0.00810411 -0.00400159 0.00827998 -0.0045808 0.00345229 -0.067678 0.0360582 0.0222373 0.0353794 0.287439 0.0421372
c_reactive_prot 0.0512076 0.0140558 0.0328186 0.00845936 0.0064709 0.00241509 0.000766539 0.000664773 0.00482258 0.00299699 0.0683157 0.0387287 0.0794039 0.018963 0.040064 0.00752444 0.000428522 0.00687764 0.00518922 0.00423585 -0.00163102 0.00184921 0.000703488 0.000513352 -0.00111835 0.0010762 -0.00483769 0.00488836 0.0090444 0.00280835 0.00499424 0.00296656 0.0404615 0.00863438 0.0127728 0.00863166 0.28387 0.0501434
creatinine 0.0470108 0.00967273 0.0421397 0.00617974 0.0079143 0.00206501 0.00288459 0.000827313 0.00783237 0.00275285 0.0493102 0.00549505 0.0881032 0.00572092 0.0475479 0.00479699 -0.0050673 0.00843148 -0.0015741 0.00431934 0.00159904 0.00174787 -0.000852341 0.000538585 0.00051252 0.00144571 -0.00141005 0.00233907 0.000128191 0.00230362 -0.00112237 0.00241142 -0.290436 0.00833639 -0.00778641 0.00776217 0.292743 0.0167812
creatinine_urine 0.00709815 0.00771032 0.0161735 0.00374906 0.00238228 0.00139106 0.000442414 0.000475006 0.00254068 0.000894686 0.0145263 0.00209571 0.0236596 0.00252301 0.0128103 0.00207355 0.00384942 0.00763823 -0.00641596 0.00369488 0.00147752 0.001529 -7.23524e-05 0.000511685 -0.00110758 0.000890563 -0.00274133 0.00176907 0.00621365 0.00204996 -0.000461013 0.00117568 0.0365025 0.00794421 0.000742351 0.00800192 0.0796332 0.00812958
cystatin_c 0.0600304 0.0161118 0.0353998 0.0105352 0.0120609 0.00230042 0.00132224 0.00134678 0.00902311 0.00213658 0.0446428 0.00605461 0.0992159 0.0125524 0.0815762 0.0376683 0.00155892 0.00810849 0.0123308 0.00443308 -0.00333397 0.00199841 0.000212898 0.000492924 -0.00162435 0.00153771 0.000683825 0.0025444 0.000608833 0.00274904 -0.00299452 0.00193883 -0.23023 0.0103766 0.00744243 0.0089118 0.343271 0.0669603
fev1_fvc 0.0346191 0.00752093 0.0333469 0.00537055 0.00793794 0.0018505 0.00176991 0.000758982 0.00359169 0.00111499 0.038924 0.0041763 0.0869858 0.00610099 0.0394617 0.00323686 0.0110725 0.00831789 0.00148113 0.00535488 -0.000467484 0.00186574 0.0001948 0.00071943 0.00154078 0.00119139 0.00137378 0.00256271 0.00189401 0.00237026 9.21709e-05 0.00260898 -0.0781333 0.00887868 0.0171817 0.00895002 0.246637 0.0126554
fvc 0.0534128 0.00963337 0.0468581 0.00531014 0.0129579 0.00211091 0.00279088 0.000809918 0.00488517 0.00153741 0.0531881 0.00447157 0.0910968 0.00468891 0.0505057 0.00575753 0.00822285 0.00893725 -0.00543027 0.00441262 -0.00125516 0.00183082 0.000131305 0.000667484 0.00148034 0.00111974 -0.0043234 0.0022795 0.00152183 0.00240602 -0.00294199 0.00254636 -0.0997556 0.00961369 -0.00259449 0.00885529 0.315696 0.0150175
ggt 0.0544235 0.0120175 0.0270543 0.00739232 0.00548348 0.00218211 0.00213321 0.000667693 0.00474762 0.00291513 0.0833466 0.0415576 0.0765674 0.00841861 0.0354843 0.00549498 0.0103147 0.00818453 0.00811649 0.00467185 0.00253526 0.00150429 -6.80734e-05 0.000493957 0.00137385 0.00100554 0.00167348 0.00405333 0.0116746 0.00280031 0.0052923 0.00150986 0.0442555 0.00987498 0.0409126 0.00861351 0.289241 0.0469535
glucose 0.0235713 0.00757154 0.0104897 0.00527185 -0.00223766 0.00220745 0.00122027 0.000697807 0.00162838 0.00155628 0.0320097 0.00733268 0.0403625 0.0058647 0.0139066 0.0021277 0.00342263 0.00758972 0.00704686 0.00498518 0.00468752 0.00208731 -0.00028068 0.000637264 -0.000120138 0.00138068 -0.00862256 0.00306533 -0.00363239 0.00251391 -0.00115377 0.00142237 -0.387712 0.00842473 0.00134747 0.00855587 0.120951 0.0157402
