pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
bp_systolic 0.0411776 0.0044843 0.0248386 0.00340707 0.00705333 0.00133305 0.00137237 0.000434269 0.00357237 0.000774999 0.033294 0.0029913 0.0643963 0.00327278 0.03593 0.00276448 0.00101732 0.00415078 0.00674696 0.0027966 -0.00108414 0.000938248 -8.37697e-05 0.000344246 0.000582082 0.000625016 0.00290412 0.0013312 0.00538941 0.00125624 0.00284224 0.000660289 0.76331 0.0139722 0.0183142 0.00464562 0.211635 0.0076672 0.00581808 0.0129296
calcium 0.0333773 0.0060219 0.0207821 0.0044702 0.0121846 0.0037217 0.000133412 0.000592522 0.00604706 0.00155368 0.0286482 0.00385006 0.054662 0.00452736 0.027733 0.00693213 0.00801251 0.00451543 -0.00296594 0.0025029 -0.000495343 0.000953723 -6.71872e-05 0.000339654 0.000759003 0.00054835 -0.000816878 0.00109687 0.00316799 0.000983821 0.00020036 0.000675946 0.272695 0.0140029 0.00779451 0.00384317 0.183568 0.0150721 0.519604 0.0192813
cholesterol 0.0271101 0.00752416 0.0432875 0.0158287 0.00320859 0.0014731 0.00113891 0.00045568 0.00410757 0.00222159 0.0458653 0.02211 0.0478162 0.00669128 0.0224643 0.00484467 0.00743261 0.00416262 -3.47482e-06 0.00268517 0.000742587 0.00089663 -9.70414e-06 0.000243785 -0.000108381 0.00064743 0.00414815 0.00177103 0.00472033 0.00113598 0.00128152 0.000550967 -0.489197 0.0149864 0.0182036 0.00477156 0.194998 0.0354739 1.19433 0.0349707
corneal_hysteresis 0.0255392 0.0191312 0.0396681 0.0122116 0.00793999 0.00536811 0.00254027 0.00157946 0.013752 0.00329233 0.0644626 0.00847351 0.133926 0.0149257 0.0439962 0.00983644 -0.0268894 0.018012 -0.00926508 0.0112219 -0.00335924 0.00449226 0.00133971 0.00149842 -0.000682037 0.00253874 -0.00152678 0.0048107 0.00326682 0.00446063 0.00372242 0.00219821 0.0557063 0.0313551 -0.0333935 0.0190288 0.331825 0.0320042 0.625655 0.0443757
c_reactive_prot 0.0504968 0.01311 0.034397 0.0076271 0.00625708 0.00210395 0.00132381 0.000613147 0.00383431 0.00264494 0.065185 0.0353666 0.0858824 0.0195915 0.040936 0.00827009 -0.000941028 0.00411849 -0.000203798 0.00254579 0.000160123 0.00101633 0.00026645 0.000295417 0.00213083 0.000680425 0.00149604 0.00117256 0.00579709 0.00173556 0.00273081 0.00101161 0.400953 0.0223918 0.0114365 0.00429265 0.288312 0.0488356 0.293493 0.0476681
creatinine 0.0421222 0.00576299 0.0414444 0.00519442 0.00945038 0.00189576 0.00212637 0.000711049 0.00788282 0.00187749 0.0494502 0.0049552 0.0878794 0.00542479 0.0436353 0.0079065 0.0125065 0.00427464 0.00131707 0.00251977 0.00196597 0.00100184 -1.0287e-05 0.000254668 0.00112665 0.000606025 0.00477734 0.00108028 0.00722788 0.00122771 0.00394489 0.00064102 0.533666 0.0219459 0.032856 0.00447885 0.283991 0.0141907 0.0961646 0.0190619
creatinine_urine 0.0103672 0.00401632 0.0116168 0.00257357 0.00333073 0.00101402 0.00046697 0.000285586 0.00168543 0.000597399 0.0123691 0.00159303 0.0288197 0.00179208 0.0128253 0.00237293 0.00686406 0.00425406 0.00150179 0.0024997 0.0010877 0.000961869 0.00032797 0.000293879 1.7832e-05 0.000626567 0.00262951 0.00113089 0.000931953 0.00110413 0.00151275 0.000583659 0.424016 0.00655107 0.0148736 0.000583659 0.0814812 0.00237293 0.420017 0.00726187
cystatin_c 0.0600236 0.0141771 0.0440305 0.0110026 0.00984934 0.00195737 0.00134428 0.00132256 0.00738316 0.00154846 0.0462145 0.00539611 0.100601 0.0130755 0.0782587 0.0372573 0.00695537 0.00386981 0.00116384 0.00231163 0.00064356 0.00090339 1.29491e-05 0.000322595 0.000104801 0.000599059 0.00138361 0.00112108 0.00508294 0.00103249 0.00214811 0.00086171 0.609091 0.0299714 0.0174952 0.00428992 0.347705 0.0669695 0.0209838 0.0527796
fev1_fvc 0.0451151 0.00515649 0.0357535 0.00433468 0.00773716 0.00150878 0.00206666 0.000522832 0.00468885 0.00080407 0.0401087 0.00332944 0.0883771 0.00647832 0.0384653 0.00567809 -0.00566919 0.00404801 0.00150752 0.00235235 0.00149023 0.00101036 -0.000140559 0.000301053 -0.000407845 0.00063117 0.000883512 0.00137104 -0.000570443 0.000985751 0.000412332 0.000521467 -0.359627 0.0207815 -0.00249444 0.00436191 0.262312 0.012334 1.04118 0.0243502
fvc 0.0641437 0.00595718 0.0447106 0.00462704 0.0124219 0.00221282 0.00304936 0.000634534 0.00592356 0.00113806 0.0502305 0.00398238 0.0947594 0.00491585 0.0470377 0.00921526 0.001187 0.0040775 0.00248579 0.00234811 -2.35895e-05 0.000935786 0.000218488 0.000288091 -0.000189628 0.000663153 -0.000136029 0.00115579 0.000440671 0.00121582 -0.000423979 0.000457655 -0.795223 0.0212777 0.00355872 0.00431321 0.322277 0.0131272 0.744822 0.0134785
ggt 0.0645501 0.0149665 0.0343232 0.00722892 0.00785375 0.00235714 0.00212385 0.000563777 0.00579601 0.002997 0.0849783 0.0388064 0.0869715 0.00807907 0.0361513 0.0090822 0.00515031 0.00407702 0.00310434 0.00234109 -0.00042949 0.000977943 -0.000208997 0.000249886 6.08194e-06 0.000636084 0.00544985 0.00124635 0.00623816 0.00134057 0.00209517 0.00061371 0.950521 0.0202624 0.0214054 0.00484946 0.322748 0.0499512 -0.251124 0.0460571
