pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se sigma2_e sigma2_e.se
bp_systolic 0.0396142 0.00438194 0.0242606 0.00318639 0.00715973 0.00130739 0.00103649 0.00039903 0.00399145 0.000818976 0.033097 0.00286077 0.06383 0.00308321 0.0362369 0.00266067 0.0012397 0.00382665 0.00658059 0.00267405 -0.000843408 0.000958682 7.52852e-05 0.000340343 7.03612e-06 0.000580931 0.00123744 0.00122195 0.00283987 0.00115138 0.00103161 0.000644568 -0.772245 0.0161115 0.0121681 0.00406754 0.209226 0.00806641 1.3389 0.0143654
calcium 0.0352519 0.00613213 0.0212535 0.00432172 0.0116848 0.00363318 0.000173664 0.000599475 0.00619931 0.00157331 0.0286329 0.00378906 0.0547733 0.00461395 0.0292101 0.00687619 0.00599984 0.00450182 -0.00138693 0.00255304 -0.000255116 0.00101884 -4.05485e-05 0.000331948 0.000809656 0.00059834 -0.00177472 0.00115377 0.00292559 0.00096093 0.000708884 0.000565596 -0.437057 0.0147456 0.00698665 0.00374465 0.18718 0.0155474 1.20579 0.0236861
cholesterol 0.0286303 0.00751319 0.0426155 0.0156201 0.00340281 0.00158625 0.00119246 0.000466801 0.00419403 0.00221306 0.0461817 0.0222025 0.0484999 0.00689444 0.020434 0.00581311 0.00578787 0.00402803 -0.00116653 0.00283545 0.00109584 0.000964602 -2.43545e-05 0.000254779 0.000674781 0.000698084 0.00342575 0.0012883 0.00457399 0.00112771 0.000814488 0.000567919 0.437669 0.013081 0.0151818 0.00416224 0.195151 0.0354837 0.329996 0.0340158
corneal_hysteresis 0.0150181 0.0175573 0.0351723 0.0123662 0.00827816 0.00518121 0.00214737 0.00147438 0.0138516 0.00336767 0.0645829 0.00864547 0.132012 0.0150717 0.042555 0.00802641 -0.028904 0.0181238 0.00348231 0.0118816 -0.00592894 0.00440452 0.00177843 0.00163705 -0.000146914 0.00263242 -0.00103793 0.00502003 0.00276675 0.00467158 0.00203339 0.0019958 0.303787 0.0280009 -0.0259569 0.0190359 0.313617 0.0309761 0.395769 0.0397075
c_reactive_prot 0.0536804 0.0130322 0.0369659 0.00776373 0.00639409 0.002274 0.00151698 0.000616397 0.00385744 0.00265574 0.0656158 0.0354655 0.0872538 0.0198144 0.0381074 0.00996789 -0.00405078 0.00453092 -0.000561858 0.00232437 -0.000190736 0.000956874 0.00029423 0.000285429 0.00238313 0.000654546 0.00203255 0.0010656 0.00377167 0.00128164 0.0019793 0.000646077 -0.401255 0.0211338 0.00565749 0.00427602 0.293392 0.0490956 1.08086 0.0492924
creatinine 0.0430539 0.00564271 0.0396652 0.00463226 0.00930309 0.00163103 0.00223748 0.000693446 0.00811084 0.00187042 0.048872 0.00487531 0.0864517 0.00510347 0.0480342 0.0043521 0.012181 0.00394447 0.00257042 0.00249031 0.00125079 0.00097702 0.000327912 0.000296501 0.00057717 0.00054631 0.00329812 0.00115709 0.00523627 0.00111011 0.00231875 0.000641888 -0.548315 0.0213287 0.0277605 0.00422857 0.285728 0.0142888 0.794276 0.0174704
creatinine_urine 0.0108446 0.00403069 0.0112573 0.00262449 0.00356908 0.00104735 0.000390168 0.000284362 0.00174722 0.000618704 0.0124888 0.00158322 0.0286825 0.00173077 0.0120905 0.00282136 0.00763657 0.00409469 0.000140106 0.00235526 0.0012024 0.000891917 9.63361e-05 0.000276005 0.000241365 0.000592866 0.00252206 0.00117487 0.000948322 0.00110358 0.00145656 0.000486594 -0.423485 0.00750498 0.0142437 0.00391829 0.0810702 0.00484651 1.16321 0.00772755
cystatin_c 0.0627033 0.0146293 0.0472909 0.0127372 0.0114957 0.00305634 0.00161519 0.00132446 0.00782867 0.00163686 0.045356 0.00549986 0.101425 0.014194 0.0696219 0.0365506 0.00769784 0.00380173 -0.00123492 0.00214547 0.00190475 0.000891195 -1.87116e-05 0.000291879 8.23391e-05 0.000575737 0.00120015 0.00117966 0.00307299 0.000910235 0.000953799 0.000433415 -0.61514 0.030572 0.0136582 0.00406714 0.347337 0.0660704 1.02392 0.0502189
fev1_fvc 0.0471933 0.00552299 0.0361305 0.00496508 0.00834167 0.00182646 0.0021995 0.000577164 0.00473745 0.000793176 0.0401798 0.0034459 0.0898509 0.00673047 0.0330713 0.00904226 -0.0062789 0.00439854 0.00195354 0.00253822 0.00155503 0.00104911 -0.000205293 0.000321501 -0.000327802 0.000632661 0.000827666 0.00129467 0.00120672 0.00103503 0.00106287 0.000592155 0.320986 0.0197848 -0.000206168 0.00443185 0.261704 0.0126479 0.395266 0.024396
fvc 0.0624535 0.00613678 0.0447007 0.00396056 0.0107413 0.00162598 0.00332162 0.000635575 0.00584531 0.00112233 0.0503434 0.0040517 0.0921641 0.00431842 0.0548873 0.00369312 0.00265041 0.00408599 0.00528233 0.00265508 0.000119836 0.000926753 1.36486e-05 0.000301552 -0.000434081 0.000653684 0.000331235 0.0011752 0.00181185 0.00113141 0.000453242 0.000520206 0.831523 0.0231668 0.0102285 0.00446046 0.324457 0.0130702 -0.0842431 0.0138052
ggt 0.065648 0.0147542 0.0344318 0.00696427 0.00811056 0.00229697 0.00220336 0.000545442 0.0058475 0.00288968 0.0860192 0.0390127 0.0881756 0.00821262 0.0369064 0.00920181 0.00345348 0.00408727 0.00232545 0.00231075 -6.77047e-05 0.000810274 -0.000235533 0.000255527 -7.55842e-05 0.000619191 0.00411716 0.0010948 0.00410002 0.00110586 0.00160641 0.000548683 -0.926939 0.0228978 0.0152237 0.00426294 0.327342 0.050024 1.35106 0.0496648
glucose 0.0276193 0.00640969 0.016611 0.00311643 0.00153805 0.00138914 0.00128816 0.000411216 0.00181362 0.000844332 0.0260809 0.00706052 0.0389682 0.00530345 0.0108626 0.00323094 0.0107476 0.00462032 -0.00132142 0.00247195 0.000690144 0.00105226 -0.000487923 0.0002611 8.24453e-05 0.000625477 0.000947044 0.0012111 -0.000329975 0.0012045 0.000801228 0.000653782 0.62717 0.00891564 0.0111292 0.00438065 0.124782 0.0168215 0.2304 0.018003
hair_color 0.0728813 0.0335209 0.0272646 0.0117384 0.00365738 0.0023734 -0.000320915 0.000613418 0.0741103 0.0624856 0.0217993 0.0168471 0.102751 0.0386814 0.0340529 0.0107202 0.00234881 0.0035292 0.00249111 0.00202183 0.000778981 0.000888693 -0.000327887 0.000259829 -0.000467535 0.000542511 -0.000121816 0.00108037 0.00123714 0.00104417 -0.000187564 0.000506471 0.30832 0.0300265 0.00575124 0.00360913 0.336196 0.0992068 0.335468 0.0928556
hba1c 0.055664 0.00751604 0.0336103 0.00472258 0.00898117 0.00257246 0.00100094 0.0006251 0.00532257 0.00236984 0.0828642 0.0253644 0.0813173 0.00791712 0.0507217 0.0100569 0.00132691 0.00378984 -0.000406582 0.00261162 -0.000383513 0.00105692 0.000153898 0.000282827 0.000348931 0.00061126 0.00211591 0.00116752 0.00115775 0.00104369 0.00160526 0.000556979 0.784575 0.0211927 0.00591856 0.00385941 0.319482 0.0280191 -0.100516 0.035167
hdl 0.0494482 0.00977442 0.0439623 0.00902726 0.00893946 0.00277913 0.00257021 0.00121476 0.0154275 0.00901083 0.0918721 0.0399147 0.127061 0.0235221 0.039486 0.00873718 0.00603287 0.00408133 0.000103048 0.00275485 0.00162788 0.00109277 9.51117e-05 0.000321553 0.00104761 0.000732952 0.00243157 0.00114559 0.00652296 0.00122484 0.00183048 0.000598029 0.0810217 0.0290152 0.0196915 0.00430616 0.378767 0.0565926 0.424879 0.045786
height 0.149823 0.0131921 0.0960918 0.00848639 0.0262682 0.0041114 0.00578537 0.00136773 0.0141763 0.00295788 0.108757 0.0101117 0.204577 0.0120934 0.104965 0.0144031 0.000955232 0.00394854 0.00126956 0.00228671 0.000860121 0.000884028 -0.000156304 0.000292958 -0.000145811 0.000536052 0.0036731 0.00107018 0.00297612 0.00104485 0.00140851 0.000456605 -0.0413346 0.041302 0.0108405 0.00386203 0.710443 0.0340816 0.156656 0.0277296
igf1 0.0484851 0.00783408 0.0429578 0.00563593 0.0106975 0.00261143 0.00273676 0.000831522 0.00716426 0.00143853 0.0506452 0.00568207 0.103151 0.0109528 0.0506502 0.0103075 0.000103629 0.00365669 -0.000931189 0.00207654 0.00271754 0.000956597 -0.000300677 0.000263466 0.000927817 0.000420728 0.00346543 0.00107663 0.00744109 0.00125319 0.00253774 0.000891669 -0.280129 0.0248051 0.0159614 0.00379665 0.316488 0.0203502 0.880029 0.0303509
ldl 0.0211795 0.0101826 0.0511979 0.024107 0.00186738 0.00151124 0.000668132 0.00034576 0.00148171 0.000852764 0.0560721 0.0333394 0.0406047 0.00720593 0.0189407 0.00445185 0.00848672 0.00399166 0.00100984 0.00291679 0.00135294 0.000992404 0.000296213 0.000288555 -8.41471e-05 0.000729752 0.00454006 0.00140917 0.00419981 0.00116912 0.00101765 0.000629632 0.207638 0.0108951 0.0208191 0.00456134 0.192012 0.0499922 0.558427 0.050784
microalbumin -0.00208636 0.0130021 0.00273617 0.00676151 0.00174152 0.00255177 -0.00090378 0.000722562 0.000533063 0.00175132 0.0156309 0.00338882 0.0138056 0.00363209 0.00728927 0.00253945 0.0235015 0.013193 0.00275557 0.00784107 -0.00109576 0.0027037 -0.000546976 0.000868863 0.000360768 0.00175936 -0.00167417 0.00342057 0.00310163 0.00321665 0.00186625 0.00160616 0.57194 0.013735 0.0282688 0.0136761 0.0387463 0.0142502 0.357468 0.0151167
overall_health 0.0398275 0.00476222 0.021745 0.00264692 0.00543863 0.00107363 0.00110004 0.000328875 0.00205112 0.000621889 0.018351 0.00160383 0.0422478 0.00199703 0.023905 0.00275966 0.00137406 0.00394176 0.00454811 0.00232805 -0.00088676 0.000767541 0.000312734 0.00023515 -8.49711e-05 0.000533824 0.00124641 0.000933137 0.00192268 0.0010451 0.000616532 0.000529503 0.391275 0.0119378 0.00904879 0.00436067 0.154666 0.00566324 0.417315 0.0119602
phosphate 0.0403629 0.00573748 0.0167767 0.0041548 0.00635281 0.00179356 0.00199839 0.000609614 0.00332977 0.000913941 0.0265252 0.004658 0.0626053 0.00882387 0.014877 0.00505875 -0.00136273 0.00448203 0.00261497 0.00273419 0.000351589 0.00101697 0.000250605 0.000448747 0.00107885 0.000703854 0.00304113 0.0011111 0.00289838 0.00123408 0.000640829 0.000583161 0.47574 0.0109567 0.00951362 0.00455068 0.172828 0.0156786 0.31878 0.0198992
potassium 0.00471975 0.00430108 0.00730802 0.00239911 0.00143882 0.000941765 0.000301891 0.000305132 0.00148471 0.000573144 0.00782583 0.00134097 0.0186056 0.00144134 0.00915829 0.00118903 0.00966048 0.00387468 0.00109921 0.00254809 0.000324426 0.000887072 0.000464347 0.000297258 -0.000933133 0.000597052 0.00131836 0.00114007 0.00130819 0.00109332 0.000601248 0.000496358 -0.362197 0.00547068 0.0138431 0.00393032 0.0508429 0.0051591 1.2668 0.00629301
shbg 0.0637596 0.0193936 0.0451304 0.00749531 0.0222212 0.0115689 -0.000314936 0.000787391 0.00720639 0.00213512 0.0517817 0.00857629 0.111422 0.0308187 0.0487783 0.0125759 0.00984083 0.00430635 0.00293694 0.00267886 0.000823127 0.00101265 -0.000110927 0.000266935 -0.000164442 0.000674327 0.00501126 0.00132215 0.0069882 0.0012771 0.0037093 0.00107192 -1.51354 0.0257832 0.0290343 0.00463216 0.349985 0.0678983 1.7082 0.0527176
sodium 0.0209641 0.00433732 0.0146797 0.00259061 0.00233594 0.000919223 0.000932733 0.000333738 0.00243716 0.000677145 0.0142945 0.00138894 0.0299938 0.00182435 0.0159025 0.00243019 0.00914219 0.00462627 -0.00202878 0.00208644 0.000683738 0.000910946 0.000134412 0.000235211 -0.000602153 0.000518964 0.000729581 0.000952204 0.000564175 0.00102744 4.64459e-05 0.000483041 -0.165002 0.00789376 0.0086696 0.00454183 0.10154 0.00457062 0.976076 0.00716605
testosterone 0.014742 0.00453065 0.00706376 0.0032209 0.0061833 0.00142403 0.000121551 0.000544424 0.00179445 0.000653613 0.0179255 0.00241799 0.0355332 0.00632295 0.0167772 0.00400522 0.0252008 0.00520057 0.0171107 0.00382704 0.00631916 0.00158088 0.000718331 0.000432613 0.00288155 0.000771593 0.0143653 0.00185724 0.0336927 0.00522225 0.0166778 0.00284172 0.0815156 0.0112973 0.116966 0.00960135 0.100141 0.0112946 0.255056 0.00496702
triglycerides 0.0546147 0.0127436 0.045723 0.0105551 0.00857671 0.00224019 0.00049605 0.000644082 0.00528026 0.00160874 0.0432011 0.00594176 0.0894314 0.014222 0.0437099 0.0107716 0.00305498 0.00388722 0.00146956 0.0024094 0.000894186 0.00102847 -7.66919e-05 0.00025096 -0.00102036 0.000508064 0.0029163 0.00120432 0.00354118 0.00112016 0.00163493 0.000445568 0.639469 0.0192619 0.0124141 0.00439755 0.291033 0.0382053 0.0529479 0.0424165
urate 0.0544461 0.0081162 0.0348669 0.0115177 0.0238619 0.0131314 -0.000147034 0.00223386 0.00565022 0.000981539 0.0338721 0.00292691 0.0591097 0.0180614 0.0985814 0.0672361 0.00471653 0.00401795 0.0044909 0.00270388 0.00167911 0.00208147 -0.00107426 0.000397566 -0.000117546 0.000510477 0.00169289 0.00111716 -3.28535e-05 0.00246418 0.01102 0.00965681 -0.25549 0.0272176 0.0223748 0.00920477 0.310241 0.0704774 0.654981 0.0564204
urea 0.0273346 0.00436782 0.0235053 0.00441064 0.00327954 0.00140687 0.00155482 0.000542312 0.00613744 0.00156061 0.0283051 0.00280198 0.0519735 0.00503001 0.0243771 0.0048507 0.00902314 0.00443317 -0.00120743 0.00220184 0.000575191 0.000934564 0.00025537 0.000301476 -1.36004e-05 0.000567624 0.00117169 0.00105351 0.00311525 0.00108437 0.00118416 0.000508815 0.218051 0.0123193 0.0141038 0.00429845 0.166468 0.0092658 0.545855 0.0138148
vitamin_d 0.0333435 0.00556636 0.023596 0.00844653 0.0056423 0.00398568 0.000788013 0.000473338 0.00356757 0.00107456 0.011202 0.00292386 0.0470984 0.0142232 0.0201763 0.00417111 0.00808684 0.00481699 -3.86831e-05 0.00258299 0.0013983 0.00104031 -0.000362403 0.000302723 -0.000524836 0.000514316 0.00326333 0.00117323 0.000556971 0.00103565 0.000489764 0.000659086 -0.0909848 0.0110827 0.0128693 0.00468179 0.145414 0.024217 0.919939 0.02419
whr 0.0363601 0.004044 0.0337802 0.00336569 0.00686183 0.00148789 0.00270051 0.000455265 0.00484022 0.00110019 0.0370042 0.00288658 0.0720561 0.00342431 0.0355738 0.00360289 0.01216 0.00389976 0.00596212 0.00250174 0.00137945 0.000925051 -8.07131e-06 0.000278157 0.000368093 0.000534164 0.00863089 0.00119587 0.01189 0.00142311 0.0049828 0.000844817 -0.652026 0.0143287 0.0453652 0.00453039 0.229177 0.00767297 0.775325 0.00871497
