pheno h0 se0 h1 se1 h2 se2 h3 se3 h4 se4 h5 se5 h6 se6 h7 se7 hge0 sege0 hge1 sege1 hge2 sege2 hge3 sege3 hge4 sege4 hge5 sege5 hge6 sege6 hge7 sege7 h2nxe h2nxe.se  h2gxe h2gxe.se h2g h2g.se
bp_systolic 0.0394248 0.00441957 0.0260047 0.00375656 0.00759644 0.00152815 0.00110126 0.000438192 0.00389036 0.000815321 0.0328186 0.00283839 0.0644087 0.00327491 0.0326618 0.00491314 0.0045783 0.00428936 -0.000490677 0.00219772 -0.000395562 0.000949661 0.000461968 0.000295844 -0.00103218 0.000594522 0.00254985 0.0011847 0.0029805 0.00108867 0.00108377 0.000604762 -0.0114833 0.00452505 0.00973597 0.00450473 0.207907 0.00805766
calcium 0.0334991 0.00593889 0.020739 0.004306 0.0118952 0.00365536 0.000121917 0.000604089 0.00602915 0.00155128 0.0282837 0.00376198 0.0536604 0.00452724 0.0292318 0.00679757 0.00109589 0.0043817 0.0014269 0.00282765 0.000800288 0.00101054 -0.000254205 0.000324006 -0.000124767 0.000819474 0.000208877 0.00113284 0.00179836 0.00125337 0.000266757 0.000567914 0.00896348 0.00453151 0.0052181 0.00453767 0.18346 0.0154692
cholesterol 0.0405949 0.0114523 0.0663451 0.0259733 0.00447845 0.0019993 0.000988319 0.000612579 0.00577679 0.00304821 0.0764437 0.0375612 0.0775343 0.0115928 0.0378635 0.00700144 0.00975876 0.0043762 0.00297597 0.00269404 0.000157544 0.000915794 -4.07998e-05 0.000280555 0.000664572 0.000556824 0.00104221 0.00137423 0.00444084 0.00115752 0.00127072 0.000511729 -0.0265737 0.00431373 0.0202698 0.00426761 0.310025 0.0592683
corneal_hysteresis 0.00539803 0.0165493 0.0346672 0.0121111 0.00700226 0.00518694 0.00205245 0.00143443 0.0135255 0.00327804 0.0652529 0.00853751 0.130657 0.0146425 0.0447976 0.00694444 -0.0437091 0.0179915 0.00318485 0.0106753 -0.0059251 0.00372001 0.00179257 0.00135851 0.0049932 0.0034694 0.00562231 0.00434892 0.00116836 0.00431643 -0.000744208 0.00246066 0.0435071 0.0190318 -0.0336171 0.0190047 0.303353 0.0280983
c_reactive_prot 0.0518627 0.0132383 0.0355606 0.00756776 0.00640817 0.00205482 0.00117475 0.000588093 0.00370449 0.00266845 0.0649701 0.0355038 0.0861035 0.019879 0.0425394 0.00815163 -0.00311969 0.00371815 0.00380617 0.00205778 -0.00014684 0.00100174 6.50764e-05 0.000250889 -0.000497782 0.000459994 0.000896272 0.00100007 0.000367338 0.000980478 0.00157289 0.000468384 -0.0144045 0.00423344 0.00294344 0.00423915 0.292324 0.0490877
creatinine 0.0421418 0.00565636 0.0401465 0.00488743 0.00960634 0.0017579 0.00201848 0.000665628 0.00796922 0.00189761 0.0485309 0.00491268 0.0866109 0.00512863 0.0446298 0.00535421 0.00540216 0.00498388 -0.00515757 0.00291007 0.00200068 0.00105972 -9.08299e-05 0.000493084 0.000909076 0.000768659 0.000674793 0.00128386 0.00231854 0.00141521 0.000200494 0.000592415 0.0630124 0.00521216 0.00625734 0.00523945 0.281654 0.014092
creatinine_urine 0.00958998 0.00397693 0.0109579 0.00248163 0.0034118 0.000970272 0.000351558 0.000271556 0.00165381 0.000600958 0.0123559 0.00162733 0.0280191 0.00166797 0.0131603 0.0016605 0.000805178 0.00380976 -0.00453808 0.00217024 0.000642156 0.00085035 -0.000456898 0.000270027 8.21695e-05 0.00060131 0.000943058 0.0010616 0.0011852 0.00105658 0.000178343 0.000472896 -0.00681812 0.00389536 -0.00115887 0.00390086 0.0795005 0.00484184
cystatin_c 0.0612691 0.0144057 0.0437261 0.0106809 0.0104409 0.00189142 0.00114881 0.00129748 0.00758437 0.00158267 0.0449401 0.00546472 0.0991863 0.0129245 0.080263 0.037884 0.0081503 0.00483929 0.00305861 0.00275531 0.00104294 0.00107008 -0.000117375 0.000398109 0.000391024 0.000629187 0.00258078 0.00123275 0.000744436 0.00109649 0.000571775 0.000639239 0.0354876 0.0050791 0.0164225 0.00504261 0.348559 0.0680341
fev1_fvc 0.0454633 0.00516403 0.036065 0.00422081 0.00782853 0.00145344 0.00195273 0.000530187 0.00474075 0.000819822 0.0398139 0.00337208 0.0894198 0.00641005 0.0386269 0.00483599 0.000171201 0.00445391 0.00469355 0.00258095 -0.00110656 0.0010347 0.000142075 0.000365816 0.00133294 0.000615549 0.00188628 0.00118563 0.000770987 0.00118294 -0.000601322 0.000511779 0.00732817 0.00440654 0.00728915 0.0044481 0.263911 0.0120902
fvc 0.0603486 0.00576465 0.0432693 0.00398042 0.0112706 0.00177447 0.00289964 0.000642374 0.00589349 0.00115945 0.0500455 0.00403346 0.0926501 0.00446499 0.0497096 0.00551894 0.00535042 0.00503626 0.00172871 0.00253417 -0.000301321 0.00101977 -0.000201163 0.000307608 0.00193533 0.000675188 0.00019064 0.00107346 -0.00240689 0.000978175 0.000488218 0.000739876 0.0152761 0.00505439 0.00678394 0.00504348 0.316087 0.013004
